title,indegree
Structure-Sharing In Lexical Representation,17
Two Principles Of Parse Preference,17
Learning Optimal Dialogue Strategies: A Case Study of a Spoken Dialogue Agent for Email,17
Collecting Highly Parallel Data for Paraphrase Evaluation,17
Collaborating On Referring Expressions,17
Applying Morphology Generation Models to Machine Translation,17
Computation Of The Probability Of Initial Substring Generation By Stochastic Context-Free Grammars,17
Centering: A Parametric Theory And Its Instantiations,17
Bilingual Terminology Mining - Using Brain not brawn comparable corpora,17
A Weighted Finite State Transducer Implementation Of The Alignment Template Model For Statistical Machine Translation,17
Parsing the Penn Chinese Treebank with Semantic Knowledge,17
Parsing Idioms In Lexicalized TAGs,17
Automatic Learning Of Textual Entailments With Cross-Pair Similarities,17
Studies In Part Of Speech Labelling,17
Word Re-Ordering And DP-Based Search In Statistical Machine Translation,17
Poor Estimates Of Context Are Worse Than None,17
Tera-Scale Translation Models via Pattern Matching,17
Event-Based Extractive Summarization,17
Generalizing Automatically Generated Selectional Patterns,17
Linguistically Motivated Large-Scale NLP with C\C and Boxer,17
Emotions Evoked by Common Words and Phrases: Using Mechanical Turk to Create an Emotion Lexicon,17
N-gram-based Machine Translation,17
Unsupervised Induction of Tree Substitution Grammars for Dependency Parsing,17
Scaling Distributional Similarity To Large Corpora,17
Automatic Adaptation of Annotation Standards: Chinese Word Segmentation and POS Tagging – A Case Study,17
Building Lexicon for Sentiment Analysis from Massive Collection of HTML Documents,17
Constraining The Phrase-Based Joint Probability Statistical Translation Model,17
A Systematic Exploration of the Feature Space for Relation Extraction,17
Using Register-Diversified Corpora For General Language Studies,17
Evaluation Of Spoken Language Systems: The ATIS Domain,17
Training Phrase Translation Models with Leaving-One-Out,17
The Order Of Prenominal Adjectives In Natural Language Generation,17
Fully Parsing The Penn Treebank,17
Unsupervised Multilingual Grammar Induction,17
Using Classifier Features for Studying the Effect of Native Language on the Choice of Written Second Language Words,17
Deep Syntactic Processing By Combining Shallow Methods,17
Generalized Expectation Criteria for Semi-Supervised Learning of Conditional Random Fields,17
Multi-Document Summarization Of Evaluative Text,17
Stochastic Language Generation For Spoken Dialogue Systems,17
What Is The Minimal Set Of Fragments That Achieves Maximal Parse Accuracy?,17
Optimal Constituent Alignment With Edge Covers For Semantic Projection,17
The MIT Summit Speech Recognition System: A Progress Report,17
Sense Discrimination With Parallel Corpora,17
Optimization Maxent Models And Conditional Estimation Without Magic,17
Bootstrapping Word Alignment via Word Packing,17
Dependency Tree-based Sentiment Classification using CRFs with Hidden Variables,17
Functional Centering,17
Using Wikipedia for Automatic Word Sense Disambiguation,17
Parsing With Generative Models Of Predicate-Argument Structure,17
Machine Translation System Combination using ITG-based Alignments,17
Co-Occurrence Retrieval: A Flexible Framework For Lexical Distributional Similarity,17
Ensemble Models for Dependency Parsing: Cheap and Good?,17
A Fully-Lexicalized Probabilistic Model For Japanese Syntactic And Case Structure Analysis,17
Annotating Discourse Connectives And Their Arguments,17
Empirical Study Of Predictive Powers Of Simple Attachment Schemes For Post-Modifier Prepositional Phrases,17
The GENIA Project: Corpus-Based Knowledge Acquisition And Information Extraction From Genome Research Papers,17
A New Method Of N-Gram Statistics For Large Number Of N And Automatic Extraction Of Words And Phrases From Large Text Data Of Japanese,17
Incremental Dialogue Processing in a Micro-Domain,17
Improved Statistical Machine Translation Using Monolingually-Derived Paraphrases,17
Semi-Supervised Polarity Lexicon Induction,17
An Efficient Two-Pass Approach to Synchronous-CFG Driven Statistical MT,17
Recognizing Referential Links: An Information Extraction Perspective,17
Accessor Variety Criteria For Chinese Word Extraction,17
Using Syntax to Improve Word Alignment Precision for Syntax-Based Machine Translation,17
Target-dependent Twitter Sentiment Classification,17
Decoding Algorithm In Statistical Machine Translation,17
Error Mining For Wide-Coverage Grammar Engineering,17
A Comparison of Pivot Methods for Phrase-Based Statistical Machine Translation,17
Abstract Generation Based On Rhetorical Structure Extraction,17
Generating Connectives,17
GermaNet - A Lexical-Semantic Net For German,17
Confidence Estimation For Translation Prediction,17
Automatic Classification Of Citation Function,17
University Of Sheffield: Description Of The LaSIE-II System As Used For MUC-7,17
Better Evaluation for Grammatical Error Correction,17
The TIPSTER SUMMAC Text Summarization Evaluation,17
Online EM for Unsupervised Models,17
Evaluating Multiple Aspects Of Coherence In Student Essays,17
But Dictionaries Are Data Too,17
Modelling Compression with Discourse Constraints,17
Probabilistic Models of Nonprojective Dependency Trees,17
The Rhetorical Parsing Of Unrestricted Texts: A Surface-Based Approach,17
Automatic Evaluation of Information Ordering: Kendall's Tau,17
Instance-based Evaluation of Entailment Rule Acquisition,17
A DP-Based Search Using Monotone Alignments In Statistical Translation,17
Tagging For Learning: Collecting Thematic Relations From Corpus,17
Speech Repairs Intonational Phrases And Discourse Markers: Modeling Speakers' Utterances In Spoken Dialogue,17
Training And Scaling Preference Functions For Disambiguation,17
Robust Machine Translation Evaluation with Entailment Features,17
Similarity-Based Methods For Word Sense Disambiguation,17
Efficiently Computed Lexical Chains As An Intermediate Representation For Automatic Text Summarization,17
The Intonational Structuring Of Discourse,17
CATiB: The Columbia Arabic Treebank,17
Using Hidden Markov Modeling To Decompose Human-Written Summaries,17
When Specialists and Generalists Work Together: Overcoming Domain Dependence in Sentiment Tagging,17
Memory-Based Morphological Analysis,17
Probabilistic Coreference In Information Extraction,17
Expansion Of Multi-Word Terms For Indexing And Retrieval Using Morphology And Syntax,17
A Noisy-Channel Model For Document Compression,17
A New Quantitative Quality Measure For Machine Translation Systems,17
Correcting ESL Errors Using Phrasal SMT Techniques,17
Using Linguistic Principles To Recover Empty Categories,17
Using Adaptor Grammars to Identify Synergies in the Unsupervised Acquisition of Linguistic Structure,17
Enriching Morphologically Poor Languages for Statistical Machine Translation,17
Using The Web As A Bilingual Dictionary,17
Mitigating The Paucity-Of-Data Problem: Exploring The Effect Of Training Corpus Size On Classifier Performance For Natural Language Processing,17
Kernel-Based Pronoun Resolution With Structured Syntactic Knowledge,16
A Novel Discourse Parser Based on Support Vector Machine Classification,16
Parsing Some Constrained Grammar Formalisms,16
Fine-Grained Proper Noun Ontologies For Question Answering,16
A Markov Logic Approach to Bio-Molecular Event Extraction,16
Distributed Training Strategies for the Structured Perceptron,16
The Leaf Path Projection View Of Parse Trees: Exploring String Kernels For HPSG Parse Selection,16
Converting Dependency Structures To Phrase Structures,16
A Decision Tree Method For Finding And Classifying Names In Japanese Texts,16
Machine Translation with a Stochastic Grammatical Channel,16
Re-Evaluating Machine Translation Results With Paraphrase Support,16
Cross-Document Coreference On A Large Scale Corpus,16
Structured Relation Discovery using Generative Models,16
Generalized Multitext Grammars,16
An SVM-Based Voting Algorithm With Application To Parse Reranking,16
SPoT: A Trainable Sentence Planner,16
Topic Identification for Fine-Grained Opinion Analysis,16
An English To Korean Transliteration Model Of Extended Markov Window,16
Developing An Arabic Treebank: Methods Guidelines Procedures And Tools,16
Jointly Identifying Temporal Relations with Markov Logic,16
MAXSIM: A Maximum Similarity Metric for Machine Translation Evaluation,16
NLTK: The Natural Language Toolkit,16
Domain Adaptation for Statistical Machine Translation with Domain Dictionary and Monolingual Corpora,16
Alignment Of Shared Forests For Bilingual Corpora,16
The Best of Two Worlds: Cooperation of Statistical and Rule-Based Taggers for Czech,16
Paraphrase Acquisition For Information Extraction,16
Learning A Spelling Error Model From Search Query Logs,16
Generating High-Coverage Semantic Orientation Lexicons From Overtly Marked Words and a Thesaurus,16
Improving Verb Clustering with Automatically Acquired Selectional Preferences,16
A Method For Word Sense Disambiguation Of Unrestricted Text,16
Robust PCFG-Based Generation Using Automatically Acquired LFG Approximations,16
An English-Korean Transliteration Model Using Pronunciation And Contextual Rules,16
A Scalable Decoder for Parsing-Based Machine Translation with Equivalent Language Model State Maintenance,16
Discourse Relations: A Structural And Presuppositional Account Using Lexicalised TAG,16
Detecting Errors In Part-Of-Speech Annotation,16
Structured Ramp Loss Minimization for Machine Translation,16
Can Subcategorisation Probabilities Help A Statistical Parser,16
An Unsupervised Aspect-Sentiment Model for Online Reviews,16
Discourse Obligations In Dialogue Processing,16
Morphological Tagging: Data Vs. Dictionaries,16
Parsing Word Associations And Typical Predicate-Argument Relations,16
Description Of The UMass System As Used For MUC-6,16
Stochastic Gradient Descent Training for L1-regularized Log-linear Models with Cumulative Penalty,16
Logarithmic Opinion Pools For Conditional Random Fields,16
Structure Sharing In Lexicalized Tree-Adjoining Grammars,16
Inferring Temporal Ordering Of Events In News,16
Using Subcategorization To Resolve Verb Class Ambiguity,16
Extracting The Unextractable: A Case Study On Verb-Particles,16
Supervised And Unsupervised PCFG Adaptation To Novel Domains,16
Turbo Parsers: Dependency Parsing by Approximate Variational Inference,16
A Simple But Useful Approach To Conjunct Identification,16
A Template Matcher For Robust NL Interpretation,16
Phylogenetic Grammar Induction,16
Constructing Lexical Transducers,16
Practical Issues In Automatic Documentation Generation,16
Arabic Morphological Tagging Diacritization and Lemmatization Using Lexeme Models and Feature Ranking,16
Studying the History of Ideas Using Topic Models,16
The Impact Of Parse Quality On Syntactically-Informed Statistical Machine Translation,16
Novel Reordering Approaches In Phrase-Based Statistical Machine Translation,16
TEAM: A Transportable Natural-Language Interface System,16
Unsupervised Learning Of Derivational Morphology From Inflectional Lexicons,16
Expressing Implicit Semantic Relations Without Supervision,16
Exploring Syntactic Features For Relation Extraction Using A Convolution Tree Kernel,16
Examining The Role Of Linguistic Knowledge Sources In The Automatic Identification And Classification Of Reviews,16
Experiments In Constructing A Corpus Of Discourse Trees,16
Dialogue Act Tagging with Transformation-Based Learning,16
Augmented Phrase Structure Grammars,16
Evaluation And Extension Of Maximum Entropy Models With Inequality Constraints,16
Self-Training for Enhancement and Domain Adaptation of Statistical Parsers Trained on Small Datasets,16
LEDIR: An Unsupervised Algorithm for Learning Directionality of Inference Rules,16
An Integrated Architecture For Shallow And Deep Processing,16
A Latent Variable Model for Generative Dependency Parsing,16
A Taxonomy For English Nouns And Verbs,16
Distributional Measures Of Concept-Distance: A Task-Oriented Evaluation,16
Integration Of Diverse Recognition Methodologies Through Reevaluation Of N-Best Sentence Hypotheses,16
Automated Scoring Using A Hybrid Feature Identification Technique,16
Some Applications Of Tree-Based Modelling To Speech And Language,16
Using A Probabilistic Class-Based Lexicon For Lexical Ambiguity Resolution,16
Joint Parsing and Alignment with Weakly Synchronized Grammars,16
Multi-Perspective Question Answering Using The OpQA Corpus,16
A Stacked Sub-Word Model for Joint Chinese Word Segmentation and Part-of-Speech Tagging,16
Subword-Based Tagging By Conditional Random Fields For Chinese Word Segmentation,16
Antecedent Recovery: Experiments With A Trace Tagger,16
Extracting Lexical Semantic Knowledge from Wikipedia and Wiktionary,16
Mining New Word Translations From Comparable Corpora,16
A Phrase-Based Alignment Model for Natural Language Inference,16
Direct Word Sense Matching For Lexical Substitution,16
A Comparison Of Rankings Produced By Summarization Evaluation Measures,16
Improving generative statistical parsing with semi-supervised word clustering,16
Unsupervised Morphological Segmentation with Log-Linear Models,16
The Third International Chinese Language Processing Bakeoff: Word Segmentation And Named Entity Recognition,16
Verb Class Disambiguation Using Informative Priors,16
Extracting Personal Names From Email: Applying Named Entity Recognition To Informal Text,16
The Complexity Of Recognition Of Linguistically Adequate Dependency Grammars,16
Measuring Distributional Similarity in Context,16
Large Lexicons For Natural Language Processing: Utilising The Grammar Coding System Of LDOCE,16
Distributed Word Clustering for Large Scale Class-Based Language Modeling in Machine Translation,16
Finding Contradictions in Text,16
The (Non)Utility Of Predicate-Argument Frequencies For Pronoun Interpretation,16
SemEval-2010 Task 3: Cross-Lingual Word Sense Disambiguation,16
Incremental Finite-State Parsing,16
Annotating Attributions And Private States,16
Morphological features help POS tagging of unknown words across language varieties,16
Identifying And Analyzing Judgment Opinions,16
Combining Unsupervised Lexical Knowledge Methods For Word Sense Disambiguation,16
Algorithms For Analysing The Temporal Structure Of Discourse,16
Cascaded ATN Grammars,16
An Earley-Type Parsing Algorithm For Tree Adjoining Grammars,16
Revisiting Context-based Projection Methods for Term-Translation Spotting in Comparable Corpora,16
A Stochastic Finite-State Word-Segmentation Algorithm For Chinese,16
Hierarchical Directed Acyclic Graph Kernel: Methods For Structured Natural Language Data,16
Pivot Language Approach for Phrase-Based Statistical Machine Translation,16
Joint Morphological and Syntactic Disambiguation,16
Overview of the Epigenetics and Post-translational Modifications (EPI) task of BioNLP Shared Task 2011,16
Upper Modeling: Organizing Knowledge For Natural Language Processing,16
Scaling Context Space,16
Automated Text Summarization In SUMMARIST,16
Probabilistic Inference for Machine Translation,16
Non-Classical Lexical Semantic Relations,16
Using Paraphrases for Parameter Tuning in Statistical Machine Translation,15
Binarizing Syntax Trees to Improve Syntax-Based Machine Translation Accuracy,15
HOO 2012: A Report on the Preposition and Determiner Error Correction Shared Task,15
An Integrated Framework For Text Planning And Pronominalisation,15
Compiling And Using Finite-State Syntactic Rules,15
Left-To-Right Target Generation For Hierarchical Phrase-Based Translation,15
Source-Language Entailment Modeling for Translating Unknown Terms,15
Randomized Language Models via Perfect Hash Functions,15
SenseLearner: Minimally Supervised Word Sense Disambiguation For All Words In Open Text,15
Unsupervised Discovery Of Morphologically Related Words Based On Orthographic And Semantic Similarity,15
Using The Web In Machine Learning For Other-Anaphora Resolution,15
TDL - A Type Description Language For Constraint-Based Grammars,15
Improving Word Representations via Global Context and Multiple Word Prototypes,15
Near-Synonymy And Lexical Choice,15
Two Decades of Unsupervised POS Induction: How Far Have We Come?,15
Fast Generation Of Abstracts From General Domain Text Corpora By Extracting Relevant Sentences,15
An Unsupervised Model for Text Message Normalization,15
Computing Word-Pair Antonymy,15
ABL: Alignment-Based Learning,15
The Power of Negative Thinking: Exploiting Label Disagreement in the Min-cut Classification Framework,15
Parsing And Derivational Equivalence,15
Estimating Linear Models for Compositional Distributional Semantics,15
An Estimate Of An Upper Bound For The Entropy Of English,15
A Framework For Robust Semantic Interpretation,15
Recognizing Speculative Language in Biomedical Research Articles: A Linguistically Motivated Perspective,15
Document Structure,15
Dependency Unification Grammar,15
Log-Linear Models For Wide-Coverage CCG Parsing,15
Learning Parse And Translation Decisions From Examples With Rich Context,15
Instance Based Learning With Automatic Feature Selection Applied To Word Sense Disambiguation,15
Recognizing Syntactic Errors in the Writing of Second Language Learners,15
Algorithms That Learn To Extract Information - BBN: Description Of The SIFT System As Used For MUC-7,15
Distributional Representations for Handling Sparsity in Supervised Sequence-Labeling,15
Computing relative polarity for textual inference,15
Automatic Summarization Of Open-Domain Multiparty Dialogues In Diverse Genres,15
A Comparative Study of Parameter Estimation Methods for Statistical Natural Language Processing,15
Generating Indicative-Informative Summaries With SumUM,15
Decomposability of Translation Metrics for Improved Evaluation and Efficient Algorithms,15
Improving Summarization Performance By Sentence Compression - A Pilot Study,15
Generalizing Biomedical Event Extraction,15
Normalizing SMS: are Two Metaphors Better than One ?,15
Quasi-Destructive Graph Unification,15
A Bootstrapping Method for Building Subjectivity Lexicons for Languages with Scarce Resources,15
Finding Hedges by Chasing Weasels: Hedge Detection Using Wikipedia Tags and Shallow Linguistic Features,15
Pilot Implementation Of A Bilingual Knowledge Bank,15
Incremental Hypothesis Alignment for Building Confusion Networks with Application to Machine Translation System Combination,15
Automatic English-Chinese name transliteration for development of multilingual resources,15
Constructing Corpora for the Development and Evaluation of Paraphrase Systems,15
Multitiered Nonlinear Morphology Using Multitape Finite Automata: A Case Study On Syriac And Arabic,15
Classification of Semantic Relationships between Nominals Using Pattern Clusters,15
The Interpretation Of Tense In Discourse,15
The Influence Of Minimum Edit Distance On Reference Resolution,15
The Replace Operator,15
Discourse Generation Using Utility-Trained Coherence Models,15
Utilizing Statistical Dialogue Act Processing In VERBMOBIL,15
Speech Acts And Rationality,15
Two Graph-Based Algorithms For State-Of-The-Art WSD,15
Investigating A Generic Paraphrase-Based Approach For Relation Extraction,15
Predictive Combinators: A Method For Efficient Processing Of Combinatory Categorical Grammars,15
A Machine Learning Approach To The Automatic Evaluation Of Machine Translation,15
Word Sense Disambiguation Using Label Propagation Based Semi-Supervised Learning,15
Answering Definition Questions With Multiple Knowledge Sources,15
Anaphora Resolution In Slot Grammar,15
Memory-Based Learning: Using Similarity For Smoothing,15
Structural Ambiguity And Conceptual Relations,15
Variational Decoding for Statistical Machine Translation,15
ProFIT: Prolog With Features Inheritance And Templates,15
Intrinsic vs. Extrinsic Evaluation Measures for Referring Expression Generation,15
A Statistical Model For Word Discovery In Transcribed Speech,15
A Simple Reconstruction Of GPSG,15
Parsing Head-Driven Phrase Structure Grammar,15
Frustratingly Hard Domain Adaptation for Dependency Parsing,15
Mapping WordNets Using Structural Information,15
Semantic Role Labeling Of NomBank: A Maximum Entropy Approach,15
Discourse Processing Of Dialogues With Multiple Threads,15
Improving SMT Quality With Morpho-Syntactic Analysis,15
Integrated Morphological And Syntactic Disambiguation For Modern Hebrew,15
Domain Adaptation in Statistical Machine Translation with Mixture Modelling,15
Generation As Dependency Parsing,15
From English To Logic: Context-Free Computation Of Conventional Logical Translation,15
Generating Complex Morphology for Machine Translation,15
Estimation Of Stochastic Attribute-Value Grammars Using An Informative Sample,15
Jointly Learning to Extract and Compress,15
An Annotation Scheme For Discourse-Level Argumentation In Research Articles,15
Toward A Synthesis Of Two Accounts Of Discourse Structure,15
Detecting Speculations and their Scopes in Scientific Text,15
A Transition-Based System for Joint Part-of-Speech Tagging and Labeled Non-Projective Dependency Parsing,15
Combining Clues For Word Alignment,15
Sentence Fusion via Dependency Graph Compression,15
Exploiting Auxiliary Distributions In Stochastic Unification-Based Grammars,15
Unsupervised Induction of Semantic Roles,15
A Best-First Probabilistic Shift-Reduce Parser,15
PHRED: A Generator For Natural Language Interfaces,15
Unsupervised Discovery of Generic Relationships Using Pattern Clusters and its Evaluation by Automatically Generated SAT Analogy Questions,15
Acquisition Of English-Chinese Transliterated Word Pairs From Parallel-Aligned Texts Using A Statistical Machine Transliteration Model,15
Generating Confusion Sets for Context-Sensitive Error Correction,15
Aspect Aspectual Class And The Temporal Structure Of Narrative,15
Treebank Annotation Schemes and Parser Evaluation for German,15
Statistical Sense Disambiguation With Relatively Small Corpora Using Dictionary Definitions,15
Treebank Grammar Techniques for Non-Projective Dependency Parsing,15
The N-Best Algorithm: Efficient Procedure For Finding Top N Sentence Hypotheses,15
Constraint-Based Sentence Compression: An Integer Programming Approach,15
What To Do When Lexicalization Fails: Parsing German With Suffix Analysis And Smoothing,15
SRA: Description Of The SRA System As Used For MUC-6,15
Using Syntax to Disambiguate Explicit Discourse Connectives in Text,15
A Scalable Global Model for Summarization,15
Redundancy In Collaborative Dialogue,15
Multi-Tape Two-Level Morphology: A Case Study In Semitic Non-Linear Morphology,15
Proper Name Translation in Cross-Language Information Retrieval,15
Measuring The Relative Compositionality Of Verb-Noun (V-N) Collocations By Integrating Features,15
An Effective Two-Stage Model For Exploiting Non-Local Dependencies In Named Entity Recognition,15
BabelNet: Building a Very Large Multilingual Semantic Network,15
EM Works for Pronoun Anaphora Resolution,15
University Of Sheffield: Description Of The LaSIE System As Used For MUC-6,15
Coreference Resolution with World Knowledge,15
Dependency Parsing of Turkish,15
Tense Trees As The Fine Structure Of Discourse,15
Comparing A Linguistic And A Stochastic Tagger,15
Learning Domain Ontologies From Document Warehouses And Dedicated Web Sites,15
A Statistical Profile Of The Named Entity Task,15
Tagging Accurately - Don't Guess If You Know,15
A Symmetrical Approach To Parsing And Generation,15
Identifying Text Polarity Using Random Walks,15
Classification Of Discourse Coherence Relations: An Exploratory Study Using Multiple Knowledge Sources,14
An Augmented Context Free Grammar For Discourse,14
Statistical Agenda Parsing,14
Translating With Non-Contiguous Phrases,14
Recognizing Named Entities in Tweets,14
Word Translation Disambiguation Using Bilingual Bootstrapping,14
Instance-Based Natural Language Generation,14
Streaming First Story Detection with application to Twitter,14
Word-Level Confidence Estimation for Machine Translation,14
Word Alignment For Languages With Scarce Resources,14
Improving Dependency Parsing with Subtrees from Auto-Parsed Data,14
SemEval-2010 Task 1: Coreference Resolution in Multiple Languages,14
The Pragmatics Of Referring And The Modality Of Communication,14
A Fast Decoder for Joint Word Segmentation and POS-Tagging Using a Single Discriminative Model,14
Automated Translation At Grenoble University,14
Hidden-Variable Models For Discriminative Reranking,14
An Algorithm For Simultaneously Bracketing Parallel Texts By Aligning Words,14
Learning Semantic Classes For Word Sense Disambiguation,14
Learning Translations Of Named-Entity Phrases From Parallel Corpora,14
Letting The Cat Out Of The Bag: Generation For Shake-And-Bake MT,14
A DP based Search Algorithm for Statistical Machine Translation,14
Word Sense Disambiguation Vs. Statistical Machine Translation,14
The Japanese Government Project For Machine Translation,14
Agenda-Based User Simulation for Bootstrapping a POMDP Dialogue System,14
Learning The Countability Of English Nouns From Corpus Data,14
Feature Subsumption For Opinion Analysis,14
A Re-examination of Machine Learning Approaches for Sentence-Level MT Evaluation,14
Target Word Detection And Semantic Role Chunking Using Support Vector Machines,14
Learning Noun Phrase Anaphoricity To Improve Conference Resolution: Issues In Representation And Optimization,14
Unsupervised Multilingual Sentence Boundary Detection,14
Multi-Lingual Coreference Resolution With Syntactic Features,14
Semantic Construction In F-TAG,14
Investigating The Effects Of Selective Sampling On The Annotation Task,14
Special Issue Introduction: Semantic Role Labeling: An Introduction to the Special Issue,14
Learning to Rank Answers on Large Online QA Collections,14
Perceptron Reranking for CCG Realization,14
METEOR-NEXT and the METEOR Paraphrase Tables: Improved Evaluation Support for Five Target Languages,14
Annotating a Japanese Text Corpus with Predicate-Argument and Coreference Relations,14
Feature-Rich Statistical Translation Of Noun Phrases,14
Slot Grammars,14
The Automatic Acquisition Of Frequencies Of Verb Subcategorization Frames From Tagged Corpora,14
Improving Statistical Machine Translation Performance by Training Data Selection and Optimization,14
brat: a Web-based Tool for NLP-Assisted Text Annotation,14
The Descent Of Hierarchy And Selection In Relational Semantics,14
Learning to Follow Navigational Directions,14
Generalizing Dependency Features for Opinion Mining,14
Improving Pronoun Resolution Using Statistics-Based Semantic Compatibility Information,14
Deciphering Foreign Language,14
Preference Grammars: Softening Syntactic Constraints to Improve Statistical Machine Translation,14
DATR: A Language For Lexical Knowledge Representation,14
Improving Chinese Tokenization With Linguistic Filters On Statistical Lexical Acquisition,14
Effective Use Of Prosody In Parsing Conversational Speech,14
Compiling Comp Ling: Weighted Dynamic Programming And The Dyna Language,14
Alignment-Based Discriminative String Similarity,14
Coordinate Noun Phrase Disambiguation in a Generative Parsing Model,14
Using Random Walks For Question-Focused Sentence Retrieval,14
Task-oriented Evaluation of Syntactic Parsers and Their Representations,14
Unsupervised Models for Coreference Resolution,14
Syntactic Dependency Based Heuristics for Biological Event Extraction,14
Bootstrapping A Multilingual Part-Of-Speech Tagger In One Person-Day,14
Language Models Based on Semantic Composition,14
Language and Translation Model Adaptation using Comparable Corpora,14
Graded Word Sense Assignment,14
Learning Word Vectors for Sentiment Analysis,14
*SEM 2012 Shared Task: Resolving the Scope and Focus of Negation,14
Annealing Techniques For Unsupervised Statistical Language Learning,14
Unification Of Disjunctive Feature Descriptions,14
Inferring Sentence-Internal Temporal Relations,14
Attribute-Based And Value-Based Clustering: An Evaluation,14
Sentiment Classification On Customer Feedback Data: Noisy Data Large Feature Vectors And The Role Of Linguistic Analysis,14
Describing Complex Charts In Natural Language: A Caption Generation System,14
A Pragmatics-Based Approach To Ellipsis Resolution,14
Ambiguity Packing In Constraint-Based Parsing Practical Results,14
On Identifying Sets,14
Some Chart-Based Techniques For Parsing Ill-Formed Input,14
Finding Deceptive Opinion Spam by Any Stretch of the Imagination,14
Semantic Role Features for Machine Translation,14
Learning the Scope of Negation in Biomedical Texts,14
Customizing A Lexicon To Better Suit A Computational Task,14
Generation that Exploits Corpus-Based Statistical Knowledge,14
Effective Use of Linguistic and Contextual Information for Statistical Machine Translation,14
Computer Generation Of Multiparagraph English Text,14
Selective Sampling For Example-Based Word Sense Disambiguation,14
Chinese Word Segmentation without Using Lexicon and Hand-crafted Training Data,14
Co-Occurrence Vectors From Corpora Vs. Distance Vectors From Dictionaries,14
Paradigmatic Morphology,14
Exploring The Statistical Derivation Of Transformational Rule Sequences For Part-Of-Speech Tagging,14
The DOP Estimation Method Is Biased And Inconsistent,14
The S-Space Package: An Open Source Package for Word Space Models,14
An Entity-Mention Model for Coreference Resolution with Inductive Logic Programming,14
Active Learning for Part-of-Speech Tagging: Accelerating Corpus Annotation,14
Memory-Based Learning For Article Generation,14
Another Look At Nominal Compounds,14
An Empirical Study on Computing Consensus Translations from Multiple Machine Translation Systems,14
Automatic Pattern Acquisition For Japanese Information Extraction,14
A Comparison of Vector-based Representations for Semantic Composition,14
An Efficient Easily Adaptable System For Interpreting Natural Language Queries,14
Discovering Sociolinguistic Associations with Structured Sparsity,14
The Potsdam Commentary Corpus,14
Learning to Merge Word Senses,14
Similarity-Based Word Sense Disambiguation,14
Finite-state Approximation of Constraint-based Grammars using Left-corner Grammar Transforms,14
Parsing As Natural Deduction,14
Statistical Parsing of Morphologically Rich Languages (SPMRL) What How and Whither,14
An Efficient Compiler For Weighted Rewrite Rules,14
The Acquisition Of Lexical Knowledge From Combined Machine-Readable Dictionary Sources,14
Linguistically Informed Statistical Models Of Constituent Structure For Ordering In Sentence Realization,14
The CommandTalk Spoken Dialogue System,14
Unification-Based Semantic Interpretation,14
A Framework For Lexical Selection In Natural Language Generation,14
Learning Morpho-Lexical Probabilities From An Untagged Corpus With An Application To Hebrew,14
Overview of the Infectious Diseases (ID) task of BioNLP Shared Task 2011,14
The ACL Anthology Reference Corpus: A Reference Dataset for Bibliographic Research in Computational Linguistics,14
Semi-Supervised Classification for Extracting Protein Interaction Sentences using Dependency Parsing,14
Kernel Methods For Relation Extraction,14
Example-Based Machine Translation In The Pangloss System,14
Automatic Verb Classification Using Distributions Of Grammatical Features,14
Unsupervised Analysis For Decipherment Problems,14
A Categorial Variation Database For English,14
Exemplar-Based Word Sense Disambiguation: Some Recent Improvements,14
Trained Named Entity Recognition Using Distributional Clusters,14
Towards an Iterative Reinforcement Approach for Simultaneous Document Summarization and Keyword Extraction,14
Can I Finish? Learning When to Respond to Incremental Interpretation Results in Interactive Dialogue,14
Making Computers Laugh: Investigations In Automatic Humor Recognition,14
Chinese And Japanese Word Segmentation Using Word-Level And Character-Level Information,14
Trainable Sentence Planning For Complex Information Presentations In Spoken Dialog Systems,14
Deriving lexical and syntactic expectation-based measures for psycholinguistic modeling via incremental top-down parsing,14
One-Level Phonology: Autosegmental Representations And Rules As Finite Automata,14
Crowdsourcing Translation: Professional Quality from Non-Professionals,14
Discourse Deixis: Reference To Discourse Segments,14
Lexical Chains For Question Answering,14
Extraction Of Semantic Information From An Ordinary English Dictionary And Its Evaluation,14
Recognizing Implicit Discourse Relations in the Penn Discourse Treebank,14
Latent-Variable Modeling of String Transductions with Finite-State Methods,14
Practical Experiments With Regular Approximation Of Context-Free Languages,14
A Bayesian Model For Morpheme And Paradigm Identification,14
Using Word-Dependent Transition Models in HMM-Based Word Alignment for Statistical Machine Translation,14
Detection Of Agreement Vs. Disagreement In Meetings: Training With Unlabeled Data,14
Automatic sense prediction for implicit discourse relations in text,14
Optimizing Referential Coherence In Text Generation,14
A Report on the First Native Language Identification Shared Task,14
Unsupervised WSD Based On Automatically Retrieved Examples: The Importance Of Bias,14
The Unknown Word Problem: A Morphological Analysis Of Japanese Using Maximum Entropy Aided By A Dictionary,14
Flexible Text Segmentation With Structured Multilabel Classification,14
What’s great and what’s not: learning to classify the scope of negation for improved sentiment analysis,14
An Efficient Implementation Of The Head-Corner Parser,14
Improving Word Sense Disambiguation Using Topic Features,14
Towards Robust Context-Sensitive Sentence Alignment For Monolingual Corpora,14
NYU: Description Of The MENE Named Entity System As Used In MUC-7,14
Graph-Based Ranking Algorithms For Sentence Extraction Applied To Text Summarization,13
Noun Phrase Recognition By System Combination,13
Graph Alignment for Semi-Supervised Semantic Role Labeling,13
